i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
484;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7590734514377152;4.623800408697564;4.692457538247068;-0.9417771824315019;3.7228474489289805;-0.27853384613990784;-0.4276423752307892;0.30683547258377075;0.5103519418386894;-2.564287069993183;-0.9417771824315019;0.4718748033878382;-0.3815603185434395;0.2776284448419144;-0.3166898779942518;-0.39987953074659777;0.457855761051178;-0.24346080422401428;0.295493483543396;0.5185605664926298;2.0595133387043814;3.7228474489289805;0.5218200010325521;-0.286517322747319;-0.4361237636764607;0.4292040287764461;-0.28707318059166037;0.2296464443206787;0.45345327258110046;0.3100195527076721;0.508288657952979;0.46878556977186325;2.081001483830413;0.5063435351513057;0.44185781816331243;-0.2472760484104328;0.27383222613700997;0.42872566774005716;
485;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7577235323616713;4.6304330682191;4.690053614047308;-0.9202393701068373;3.7409001358369602;-0.28508540987968445;-0.42531847953796387;0.3084462881088257;0.5120249017018148;-2.5510879129851145;-0.9202393701068373;0.4739707963140373;-0.3771606555801068;0.28705078930556294;-0.3228014754376951;-0.3966134006074076;0.4526243507862091;-0.25231772661209106;0.29407352209091187;0.5182017349327684;2.079345155233985;3.7409001358369602;0.5189553707597532;-0.29272755998057154;-0.42851517180633614;0.42335159478815193;-0.2951692437927247;0.23698796331882477;0.4483872652053833;0.31259042024612427;0.5071631240107737;0.4862134621017072;2.092810106461032;0.5071083860237646;0.4395700753225408;-0.2528577941384511;0.28094497085107883;0.42310148579153817;
486;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7563665496416682;4.6263894778963435;4.69715253797513;-0.9043514892209112;3.7314428639138884;-0.2913885712623596;-0.42135778069496155;0.307079553604126;0.5122984274956371;-2.5365626224738245;-0.9043514892209112;0.47269269671602065;-0.37154799986840314;0.29221647681548174;-0.3285433712491999;-0.3921361330134134;0.44646939635276794;-0.2550569176673889;0.2797556519508362;0.5141876633385851;2.0898268554225194;3.7314428639138884;0.5224870975441539;-0.2906264207333999;-0.4341993213626745;0.41740675427942797;-0.29847684980365635;0.24410168826580048;0.4428235590457916;0.3129954934120178;0.5056464561926601;0.5037940862180639;2.1028151966049444;0.5048495350006081;0.4350716085381799;-0.25609714647830617;0.2876088491196185;0.417213844397961;
487;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7532521008227083;4.637868010637794;4.6970181220962255;-0.8965635003893786;3.777277810790813;-0.2977754473686218;-0.4143102467060089;0.3044343590736389;0.5102187742343247;-2.5184093062601542;-0.8965635003893786;0.47632300296380725;-0.3720969214392636;0.2973675910516841;-0.33498513951254816;-0.3845734876008405;0.4414990246295929;-0.2698734700679779;0.28130778670310974;0.5174486241120114;2.11945870437764;3.777277810790813;0.5188061530853916;-0.3080302458852742;-0.41746519866824855;0.4106960000410655;-0.3116199899348028;0.2529104948043823;0.4284098446369171;0.30245304107666016;0.49749242543382;0.533291519294279;2.091550630173561;0.5048923108854737;0.4379658736132457;-0.2512013915993706;0.2967070821657069;0.40328970547698006;
488;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7526233283341003;4.640445368726457;4.684487958522807;-0.8924159872960487;3.8270787584639128;-0.3055326044559479;-0.4033811092376709;0.30282530188560486;0.5060301292170739;-2.4933538288928925;-0.8924159872960487;0.47713902478235465;-0.3714957351553786;0.29942038629929874;-0.34268217797148576;-0.373439070607741;0.43762776255607605;-0.28440824151039124;0.2853478193283081;0.5219253839380399;2.147091539833565;3.8270787584639128;0.5140101377061217;-0.3253938018800347;-0.39790111254270566;0.4050883823680726;-0.3241983527646618;0.2597205936908722;0.42514562606811523;0.3053181767463684;0.4982003514169664;0.5483941911767855;2.1101925179024206;0.5088788676028188;0.4366277192271958;-0.26136934918843135;0.30338336561359175;0.3990086911492721;
489;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7554760546054341;4.640830687223703;4.679609977486841;-0.8689492315901387;3.8618778054831377;-0.31367379426956177;-0.3982418179512024;0.30017292499542236;0.5069396362255983;-2.474429824445891;-0.8689492315901387;0.47726104727179963;-0.36446085302111897;0.30813372723233867;-0.3501198795716737;-0.3674284452279685;0.43465474247932434;-0.2945669889450073;0.2913186252117157;0.5250661445340918;2.1664008627778126;3.8618778054831377;0.512337649358618;-0.3379374134691726;-0.38508203220622966;0.4008610011324071;-0.3330751921656303;0.2662786543369293;0.42206647992134094;0.304972767829895;0.49904352037540534;0.5628255330850676;2.1288394982164287;0.5104301461492198;0.4329942834908959;-0.2702866710774312;0.30957808268601894;0.39503781281359784;
490;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7518674080057786;4.649882070278281;4.660677001299179;-0.8347514646510426;3.8850852679008505;-0.3248133361339569;-0.39150089025497437;0.2986740469932556;0.5087009439748548;-2.4490250958891986;-0.8347514646510426;0.48012928469879773;-0.35583806190541045;0.3223405089727018;-0.36039714232449793;-0.3592668393577042;0.42240533232688904;-0.3080211877822876;0.3067488372325897;0.522784197256383;2.2008569743890822;3.8850852679008505;0.5034359998024719;-0.3407571908861608;-0.3705837864187896;0.388329613238273;-0.34507956642416654;0.27351322770118713;0.4189777672290802;0.3022620379924774;0.5003517314447775;0.5783486685086755;2.1509036507143606;0.5164457852335111;0.4319572322511059;-0.28307101333662216;0.3167089509262977;0.390670665895418;
491;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7490924497636101;4.66418857016389;4.649826935367702;-0.7968933888504481;3.906777557250798;-0.3335106372833252;-0.39029261469841003;0.2967306077480316;0.5133786811596789;-2.434483611881507;-0.7968933888504481;0.48466919814144854;-0.3466297088327184;0.3387507587912086;-0.36817360816659706;-0.35641753881928917;0.4121997058391571;-0.31918999552726746;0.31687456369400024;0.521335641155086;2.2297049582823827;3.906777557250798;0.4954288639209205;-0.3431688959486481;-0.35733019472101696;0.3778828162442923;-0.3549230149993692;0.2809380292892456;0.4138825833797455;0.29819047451019287;0.5002249185376684;0.5963465864704987;2.168267505479643;0.5198881969253533;0.4298232098443755;-0.2924649476114579;0.32392035027368316;0.3846360886185997;
492;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7484595998625752;4.669878389393688;4.6443635663262075;-0.7604267974826583;3.920206175446285;-0.34274107217788696;-0.3874042332172394;0.29862338304519653;0.5172557225128445;-2.4172886020121096;-0.7604267974826583;0.4864766009697642;-0.335294627941902;0.35247268796943215;-0.3762705349720772;-0.35215696442029615;0.4033041000366211;-0.3273344933986664;0.3205823302268982;0.5194247468834253;2.252589787381579;3.920206175446285;0.4918801412937144;-0.34544401817520204;-0.3501635385160698;0.3687596982191009;-0.36235084725027333;0.2883165180683136;0.4092252254486084;0.29763221740722656;0.5005913500396312;0.6137680465282005;2.1875211149049614;0.521619854543106;0.42552553291347656;-0.30168741023163836;0.33086907135966126;0.37905648442544454;
493;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7464439957532106;4.67638546594946;4.641769044829259;-0.7370791809587504;3.9408692610843272;-0.35029739141464233;-0.3821491301059723;0.3026072084903717;0.5184073881347125;-2.3996538858413237;-0.7370791809587504;0.48854467337549234;-0.32836460573489884;0.36173551606682325;-0.3831338519881322;-0.34597557849928995;0.3947506248950958;-0.33651918172836304;0.3166147470474243;0.5187226768960421;2.2767315801081365;3.9408692610843272;0.48898564901466957;-0.3505302968677401;-0.34093324261519525;0.3596975952083218;-0.37061250598988255;0.2967570424079895;0.40249842405319214;0.29789406061172485;0.5000697187233402;0.6353153177578088;2.206460238155286;0.5224417661276279;0.42039723968294096;-0.3101798830703225;0.3387967663762836;0.3714804357461599;
