i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
131;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.4658701967622319;4.679865913682688;4.736067206849819;0.017631317120295614;4.558005811261673;-0.33317071199417114;-0.05735379457473755;0.3300507962703705;0.3380712662780203;-1.74127084972496;0.017631317120295614;0.4896512341130186;0.008632748903237855;0.489575128774712;-0.33230743710384736;-0.008396281697266347;0.06244362145662308;-0.30337074398994446;0.29394006729125977;0.30973055091422685;2.938595063957728;4.558005811261673;0.5178706277521475;-0.5117113692883781;-0.07963329472912956;0.011272484527785266;-0.3113340734628574;0.31719082593917847;0.057496052235364914;0.30678072571754456;0.32235976188511806;1.3914769636279605;3.0736097719719937;0.4924643945185511;0.03345336631708014;-0.4913268282422388;0.32053616257088646;0.008363369411141033;
132;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.45838775134599175;4.693581739929067;4.73113270692407;-0.016576076686779045;4.587459910006014;-0.32553574442863464;-0.05445978417992592;0.3381188213825226;0.3300596748977818;-1.7365541471017039;-0.016576076686779045;0.49401417511786566;-0.008188441854418556;0.4939463074438173;-0.3263545886140765;-0.005065153435544187;0.05724716559052467;-0.30664339661598206;0.2962101995944977;0.31194135772022186;2.9570275928273637;4.587459910006014;0.5119472306426823;-0.5079573739271697;-0.06379085542399729;0.00645142819780771;-0.3130224821583818;0.3168814778327942;0.05303267762064934;0.30776041746139526;0.32128855549040547;1.4049749925718478;3.081814806523959;0.49403438510091036;0.02951472664380431;-0.4931519589063559;0.31983295049717464;0.0037174817300137525;
133;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.4508831060606263;4.718203734199204;4.775345448991699;-0.026380429742915462;4.608977327307368;-0.3235280513763428;-0.054049599915742874;0.3316970765590668;0.32801182795506834;-1.7363307004669608;-0.026380429742915462;0.5018508727648965;-0.013237506175903356;0.5016762570873085;-0.3248518019939331;-0.003881974207012029;0.04950537532567978;-0.3073115944862366;0.2941170334815979;0.31127351042420803;2.9818730337322426;4.608977327307368;0.5181690149130533;-0.5154008411817143;-0.0534892599046335;-0.002034708792491645;-0.3126605204766999;0.3178859353065491;0.03085600771009922;0.29552990198135376;0.31937996348788883;1.474033175544355;3.141427734330757;0.4799867467107359;7.91590582559942e-05;-0.4799867401833092;0.3178938512123747;-0.017142666308231705;
134;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.4479201894128817;4.720594248397251;4.757720723504474;-0.01043021028529409;4.624333175113205;-0.3232612609863281;-0.04638490080833435;0.3284553587436676;0.32657220009895205;-1.7133139582087564;-0.01043021028529409;0.5026117593147674;-0.005242251290178577;0.5025844201752541;-0.32378548611534597;0.0038735412091910545;0.041412387043237686;-0.30647262930870056;0.2960369884967804;0.3092579155268416;3.007280290188495;4.624333175113205;0.5118122987995012;-0.5098293291379159;-0.04500982507422655;-0.009570545870553906;-0.3109736118161232;0.3221164345741272;0.028738005086779594;0.2975139617919922;0.3233958415921821;1.4818157065133832;3.1690619934712325;0.48558032991524136;-0.013336893716464899;-0.48539714056284916;0.32078274520248073;-0.019801708969505324;
135;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.4495416340248829;4.719969719040257;4.7530947746364545;0.039860822584931455;4.642187358095077;-0.3286464810371399;-0.03718331828713417;0.3267432153224945;0.33074326698655176;-1.683458012811589;0.039860822584931455;0.5024129778366706;0.020021291668672996;0.5020138924159657;-0.3266443518702726;0.013018070954462405;0.03219828009605408;-0.30528542399406433;0.2986709773540497;0.3069786952613806;3.0365117062286684;4.642187358095077;0.5105401786658581;-0.5092826558894521;-0.0358113172384404;-0.018729985492891135;-0.3088665557179084;0.32099592685699463;0.02069275453686714;0.30159705877304077;0.3216622065911755;1.5064211736855362;3.185107947550791;0.4870500926071893;-0.021187439787802586;-0.48658903101478757;0.31887718287821437;-0.027966148564611618;
136;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.45028250357321736;4.725234905220815;4.738627417683623;0.08158898804785245;4.690070929351745;-0.3310558497905731;-0.025640692561864853;0.32417985796928406;0.3320473171034673;-1.648093272522146;0.08158898804785245;0.5040887599763706;0.04108247700465878;0.5024118908004434;-0.32694760209010726;0.024600496518179485;0.019864970818161964;-0.30779120326042175;0.29949286580085754;0.3084315837752429;3.0771416326986696;4.690070929351745;0.5042627142773287;-0.5041371340203697;-0.011253226740213158;-0.030548742583875008;-0.3089165259344431;0.31892743706703186;0.012192976661026478;0.3038119375705719;0.3191604279888124;1.5325837432027065;3.1988907211675337;0.49164996186821747;-0.028155180938668437;-0.4908431223836497;0.31611191897316504;-0.036891335577338494;
137;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.45619924484750063;4.729347596943255;4.728918302444011;0.10746203476282384;4.769317179302648;-0.3316901922225952;-0.017216790467500687;0.3236761689186096;0.33213672108134024;-1.622656024976083;0.10746203476282384;0.5053975779080462;0.05420658095011814;0.5024821970348978;-0.3262695341275834;0.0330314292359891;0.011110864579677582;-0.3182237446308136;0.3022952079772949;0.3184176549102848;3.1066915719671715;4.769317179302648;0.49986335132520104;-0.49905358652131926;0.028440952485271346;-0.03879449407245435;-0.31537964938228646;0.3147374093532562;0.0057829306460917;0.3075128197669983;0.3147905321531394;1.5524245672315966;3.1970391798521494;0.4947390324728957;-0.027417507363907224;-0.49397873490886934;0.3119956586168655;-0.04361494284479524;
138;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.46428541011907765;4.733472872020277;4.739862461016112;0.11262474557306984;4.8581069210389245;-0.33032920956611633;-0.01292575616389513;0.3263736963272095;0.33058200475068766;-1.6099062957286987;0.11262474557306984;0.5067102169660026;0.0569475406038675;0.5034999717943431;-0.32463445550572956;0.037424241015539185;0.006003163754940033;-0.3329905569553375;0.30773696303367615;0.3330446651674434;3.123566576291579;4.8581069210389245;0.5020338416678788;-0.4967132437771915;0.07289671896696802;-0.04366816062277912;-0.3257008850586407;0.3114776015281677;-0.002942742081359029;0.3067116439342499;0.3114915022672327;1.5802437301281047;3.2084344637933304;0.49125711875057637;-0.032812069239605675;-0.49016010122747977;0.30819639460420717;-0.051958752204107006;
139;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.4679202864969309;4.739374180478029;4.755897797793967;0.09116327058521422;4.934625003002985;-0.3243500590324402;-0.009975716471672058;0.3326505422592163;0.32450342943252636;-1.6015426532588408;0.09116327058521422;0.5085875718821049;0.04630031253810794;0.5064756650934068;-0.3197200277786294;0.04067185003766862;0.0013012902345508337;-0.34598255157470703;0.31452676653862;0.34598499873610034;3.1378315272191886;4.934625003002985;0.5052591521467116;-0.492833335908105;0.11136477829952682;-0.04798204335625967;-0.33484607374475434;0.3081505000591278;-0.012254725210368633;0.305512011051178;0.30839408064467155;1.6105440178335686;3.2232861300373075;0.4861594423493264;-0.03967189336479955;-0.4845380730781225;0.30418331072264787;-0.06070853251818088;
140;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.46744432656167495;4.739469093356625;4.768329434470848;0.06636125331046389;-1.295790976632274;-0.3157773017883301;-0.003942531533539295;0.3382056653499603;0.31580191240651323;-1.5832808425511316;0.06636125331046389;0.5086177615281435;0.03372774425677271;0.5074982429617361;-0.3124045273626528;0.04680729276263431;-0.00515632564201951;-0.35325443744659424;0.31836438179016113;0.3532920679407285;-3.1269970563740928;-1.295790976632274;0.5091839826226365;-0.4900507553448982;0.13826997268150495;-0.05416140117650933;-0.33942744017844373;0.3049871027469635;-0.021548334509134293;0.3053039312362671;0.3057473852089408;1.6413323780967555;3.2408577244311227;0.4822121396894579;-0.04778825120511905;-0.4798383381000748;0.3002082776264516;-0.06953216831914177;
141;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.46923306908835644;4.696804235384389;4.785890733973086;0.07903737805312815;-1.2860533234306948;-0.3054390251636505;0.015267475508153439;0.33436840772628784;0.30582036214306135;-1.5208525480388702;0.07903737805312815;0.4950396231659227;0.0390859098281602;0.49349419465396316;-0.3015304341808345;0.06461689497354975;-0.012062807567417622;-0.3509429395198822;0.3137822449207306;0.35115019311580087;-3.107233619834068;-1.2860533234306948;0.5282824505989894;-0.5070105647202243;0.14840025226714681;-0.06276386403944005;-0.3361029142931675;0.3023412227630615;-0.032737817615270615;0.30395084619522095;0.3041084998550253;1.6786571141390183;3.2699930513347533;0.4766456620919059;-0.06103346311294215;-0.47272190934149905;0.2962378764517673;-0.08001000854942052;
